Sl No,Roll Number,Category,PH,Marks
1,03812212603231,SC,-,84
2,03838212609828,SC,-,84
3,03839212610160,SC,-,84
4,03842212611020,SC,-,84
5,03860212613999,SC,-,84
6,03864212614766,SC,-,84
7,03868212615605,SC,-,84
