Sl No,Roll Number,Category,PH,Marks
186,3835312609112,ST,-,76
187,3838312609861,ST,-,76
188,3838312609925,ST,-,76
189,3839312610208,ST,-,76
190,3842312610980,ST,-,76
191,3844312611395,ST,-,76
192,3850312612408,ST,-,76
193,3850332612666,ST,-,76
194,3851312613059,ST,-,76
195,3856312613494,ST,-,76
196,3856312613519,ST,-,76
197,3859312613842,ST,-,76
198,3863312614470,ST,-,76
199,3864312614763,ST,-,76
200,3864312614814,ST,-,76
201,5884312618833,ST,-,76
202,3807312601629,ST,-,75
203,3807312601891,ST,-,75
204,3810312602690,ST,-,75
205,3810312602869,ST,-,75
206,3813312603412,ST,-,75
207,3816312604342,ST,-,75
208,3818312604730,ST,-,75
209,3818312604802,ST,-,75
210,3818312604816,ST,-,75
211,3819312605066,ST,-,75
212,3821312605497,ST,-,75
213,3821312605509,ST,-,75
214,3821312605552,ST,-,75
215,3825312606616,ST,-,75
216,3833312608555,ST,-,75
217,3834312608741,ST,-,75
