Sl No,Roll Number,Category,PH,Marks
1,03807312601629,ST,-,75
2,03807312601891,ST,-,75
3,03810312602690,ST,-,75
4,03810312602869,ST,-,75
5,03813312603412,ST,-,75
6,03816312604342,ST,-,75
7,03818312604730,ST,-,75
8,03818312604802,ST,-,75
9,03818312604816,ST,-,75
10,03819312605066,ST,-,75
11,03821312605497,ST,-,75
12,03821312605509,ST,-,75
13,03821312605552,ST,-,75
14,03825312606616,ST,-,75
15,03833312608555,ST,-,75
16,03834312608741,ST,-,75
