Sl No,Roll Number,Category,PH,Marks
212,4878112617477,UR,-,100
213,5881112618518,UR,-,100
214,5887112619606,UR,-,100
215,5887112619576,UR,-,100
216,3801112600134,UR,-,99
217,3815112604203,UR,-,99
218,3816112604456,UR,-,99
219,3832112607886,UR,-,99
220,3839112610390,UR,-,99
221,3842112610734,UR,-,99
222,3856112613662,UR,-,99
223,4868112616114,UR,-,99
224,4869112616377,UR,-,99
225,4870112616464,UR,-,99
226,4874112616857,UR,-,99
227,4877112617221,UR,-,99
228,4879112617755,UR,-,99
229,4879212617959,SC,-,99
230,4880212618039,SC,-,99
231,4880112618112,UR,-,99
232,4880112618130,UR,-,99
233,5881112618479,UR,-,99
234,5881112618497,UR,-,99
235,5882112618752,UR,-,99
236,5882112618734,UR,-,99
237,3815112604144,UR,-,98
238,3816112604379,UR,-,98
239,3828212607416,SC,-,98
240,3835112609091,UR,-,98
241,3856112613592,UR,-,98
242,3859312613719,ST,-,98
243,3860212614085,SC,-,98
244,3860112614231,UR,-,98
245,4869112616201,UR,-,98
246,4870112616549,UR,-,98
247,4874112616747,UR,-,98
248,4874112616862,UR,-,98
249,4876112617066,UR,-,98
250,4876112617055,UR,-,98
251,4877112617262,UR,-,98
252,4877112617403,UR,-,98
253,4880212618066,SC,-,98
254,4880312618056,ST,-,98
255,5880112618154,UR,-,98
256,5881112618340,UR,-,98
257,5884112618871,UR,-,98
258,5885112619369,UR,-,98
259,5888112619955,UR,-,98
260,3804112600800,UR,-,97
261,3807112601475,UR,-,97
262,3807112601907,UR,-,97
263,3809112602472,UR,-,97
264,3813312603463,ST,-,97
265,3818112604811,UR,-,97
266,3828112607251,UR,-,97
267,3829112607753,UR,-,97
268,3833112608506,UR,-,97
269,4868112616108,UR,-,97
270,4869112616382,UR,-,97
271,4870112616610,UR,-,97
272,4870112616614,UR,-,97
273,4874112616658,UR,-,97
274,4874212616681,SC,-,97
275,4876112617133,UR,-,97
276,4876112617135,UR,-,97
277,4876112617145,UR,-,97
278,4877112617361,UR,-,97
279,4878112617553,UR,-,97
280,4878112617662,UR,-,97
281,4879212617931,SC,-,97
282,4880112618122,UR,-,97
283,5884112619004,UR,-,97
284,5885112619092,UR,-,97
285,5885212619190,SC,-,97
286,5887112619632,UR,-,97
287,5888112619930,UR,-,97
288,3806212601159,SC,-,96
289,3820112605223,UR,-,96
290,3823112606061,UR,-,96
291,3823112606063,UR,-,96
292,3828112607294,UR,-,96
293,3834212608736,SC,-,96
294,3838112609834,UR,-,96
295,3856112613430,UR,-,96
296,3859112613836,UR,-,96
297,3860112614271,UR,-,96
298,3866112615119,UR,-,96
299,4870112616515,UR,-,96
300,4870112616535,UR,-,96
301,4874112616686,UR,-,96
302,4876112617130,UR,-,96
303,4876212617181,SC,-,96
304,4877112617384,UR,-,96
305,4878112617545,UR,-,96
306,4878112617609,UR,-,96
307,4880112618034,UR,-,96
308,4880212618038,SC,-,96
309,4880112618058,UR,-,96
310,5880112618200,UR,-,96
311,5881112618399,UR,-,96
312,5882112618636,UR,-,96
313,5882112618689,UR,-,96
314,5884112618817,UR,-,96
315,5884312618861,ST,-,96
316,5885112619084,UR,-,96
317,5885112619312,UR,-,96
318,5887112619567,UR,-,96
319,3801112600157,UR,-,95
320,3807112601286,UR,-,95
321,3807112601352,UR,-,95
322,3820312605267,ST,-,95
323,3826112606987,UR,-,95
324,3829212607585,SC,-,95
325,3829112607553,UR,-,95
326,3833112608535,UR,-,95
327,3839112610523,UR,-,95
328,3846112611827,UR,-,95
329,4868112616045,UR,-,95
330,4868112616073,UR,-,95
331,4869112616257,UR,-,95
332,4874112616765,UR,-,95
333,4876112617053,UR,-,95
334,4876112617178,UR,-,95
335,4877112617355,UR,-,95
336,4877212617378,SC,-,95
337,4879112617749,UR,-,95
338,4879112617986,UR,-,95
339,4880112618069,UR,-,95
340,5882112618737,UR,-,95
341,3801212600094,SC,-,94
342,3803112600311,UR,-,94
343,3803112600448,UR,-,94
344,3808212602299,SC,-,94
345,3810112602829,UR,-,94
346,3821112605500,UR,-,94
347,3825212606487,SC,-,94
348,3826112606908,UR,-,94
349,3829212607586,SC,-,94
350,3832112607800,UR,-,94
351,3833112608375,UR,-,94
352,3838112609657,UR,-,94
353,3839112610504,UR,-,94
354,3842112610815,UR,-,94
355,3842112610873,UR,-,94
356,3845112611504,UR,-,94
357,3845112611702,UR,-,94
358,3850112612452,UR,-,94
359,3856112613583,UR,-,94
360,3859112613812,UR,-,94
361,3860312614044,ST,-,94
362,3863112614402,UR,-,94
363,3864112614821,UR,-,94
364,4868112616075,UR,-,94
